embedding,model,accuracy,precision,recall,f1,kappa,miou,bc,sc,scs,impervi,agricult,forest,wetlands,soil,water
embeddings_dino_sat493m,CSMOTE_HoeffdingAdaptiveTree,57.64370741975895,,28.954794141175928,,31.290996211801662,20.06394359443552,6.738783472244861,11.902364926034918,9.32057419913989,3.8139745232503097,18.531722245001568,55.28312397510806,0.0,37.92996591260615,4.824874910647015
embeddings_dino_small,CSMOTE_HoeffdingAdaptiveTree,52.945079711927335,,21.325372247462436,,16.78685965824269,13.409370887332422,5.926515361193632,9.308195241201128,7.61735530119738,1.155866900173107,0.5976194004047031,49.92205713970051,0.0,28.143382352937195,0.63729953077902
emb_512,CSMOTE_HoeffdingAdaptiveTree,19.302047624676568,,14.969636741729994,,4.430537053854069,7.28734339300508,4.664415365132475,5.229370296986715,4.9468928310595945,1.875447008026112,7.318238925000367,20.306794511766615,0.0,14.223579913237383,0.0
emb_512,CSMOTE_HoeffdingAdaptiveTree,69.01287591228093,56.42744939243995,64.43727876677254,60.16695427981168,55.036644808758425,43.45741270232155,8.19808122339894,30.948940911055463,19.5735110672272,24.166503235916764,41.41456619443284,65.00730669038177,20.613919026142856,45.37479621598938,64.1673848510657
emb_512,CSMOTE_kNN,41.9520075653099,,20.394291119179364,,5.0915233797463895,12.806833274667126,4.715557869720737,8.36500471515011,6.540281292435424,5.401512423473711,7.39279806591035,41.99716601962494,0.0,11.05893099732854,10.990592141665196
emb_512,CSMOTE_HoeffdingTree,19.508692663663307,,14.530482815726318,,2.96535982545988,6.98694383102394,4.773976374270941,4.416957533238527,4.595466953754734,1.580677196632746,8.777819488388612,22.29780931385865,0.0,9.26535698726363,0.0
emb_512,SGDClassifier,51.12976170149424,45.77615600021975,34.45995431884738,39.32005772431228,29.197444284111658,23.990234921260768,4.353117773539626,13.14532593687366,8.749221855206644,10.04124231966161,8.97627242544882,38.8241707036127,0.0,36.76276755712918,49.33695652171232
emb_512,Perceptron,47.01612444234297,50.36347670044039,32.82351273301088,39.74434536011355,23.927468090553123,22.125401750099147,3.464764443049969,12.800222559265023,8.132493501157498,7.832595403744641,5.690970374310559,28.05458527138544,0.3082614056701094,35.18959111910732,55.6764069263768
emb_512,PassiveAggressive,49.667047559005475,46.08509187897127,34.89395976420685,39.716230534296926,27.65455597694598,23.814152256963222,4.440604571760744,13.020775351318816,8.730689961539781,13.27969348657986,8.355836038712232,36.129840364573184,0.0,35.94815246136085,49.17139119055322
emb_512,SGD_SVM,50.3062461965492,48.1019742705378,34.91046356160079,40.45808709794415,28.27162052458417,24.312370963338537,4.425541831739822,13.190177884314704,8.807859858027264,10.504857737673053,7.650837718304661,36.029072040370686,0.5405405405372942,36.38184205634716,54.76707568679837
